title,text,score,subject,predicate,object,label
Unione Sportiva Città di Palermo 2012-2013,"Dopo ulteriori due sconfitte per 1-0, contro Atalanta e , maturate nei minuti finali, il 27 settembre 2012, durante una conferenza stampa tenutasi presso lo stadio Renzo Barbera, Zamparini rende Pietro Lo Monaco amministratore delegato della società, cedendogli il 10% delle azioni; pochi giorni dopo Perinetti lascia l'incarico di Direttore Generale dell'Area Sportiva.",4.125,Zamparini,rende,Pietro Lo Monaco amministratore delegato di la società,1
Castello di Dolbadarn,Il cortile segue la forma naturale della collina ed è protetto da un muro di cortina che in origine aveva circa 5 m d'altezza e conserva oggi l'altezza di circa 1 m).,1.5,Il cortile,segue,la forma naturale di la collina,1
Politica dell'Artsakh,"Ancorché non riconosciuta internazionalmente, la repubblica dell'Artsakh prevede un sistema politico statale organizzato in elezioni politiche per il rinnovo dell'Assemblea nazionale, elezioni amministrative e referendum.",1.3,la repubblica di l' Artsakh,prevede,un sistema politico statale,1
Castello di Ludlow,"Walter de Lacy tornò in Irlanda nel 1201 e la corona prese nuovamente in custodia il castello così da assicurarsi la lealtà della famiglia e la custodia venne data a Guglielmo de Braose, IV signore di Bramber, suocero di Walter e favorito di Giovanni Senza Terra che era succeduto al fratello Riccardo.",2.6666667,la custodia,venne data a,Guglielmo de Braose,1
D.J. Williams,"Nella sua stagione da rookie, D.J. disputò tredici partite, nessuna delle quali come titolare, totalizzando due ricezioni per 13 yard.",4.0,D.J.,disputò,tredici partite,1
"Oblate di San Benedetto, ancelle dei poveri",Le Ancelle dei Poveri ricevettero il pontificio decreto di lode il 16 luglio 1887 e le sue costituzioni ottennero l'approvazione definitiva della Santa Sede il 16 gennaio 1928.,1.3030303,le sue costituzioni,ottennero,l' approvazione definitiva di la Santa Sede il 16 gennaio 1928,1
Sarov (Russia),"Nel 1903 il monastero fu visitato dallo zar Nicola II Romanov e dai membri della famiglia reale: all'epoca il monastero aveva nove chiese, di cui una ipogea e vi vivevano circa trecentoventi monaci.",1.6,a l' epoca il monastero,aveva,nove chiese,1
Trygve,"Il nome è adespota, cioè non è portato da alcun santo, quindi l'onomastico ricade il 1º novembre ad Ognissanti.",1.8,l' onomastico,ricade,il 1º novembre ad Ognissanti,1
Castello di Belvedere,"Dopo imponenti lavori di ristrutturazione, oggi gli edifici del castello sono adibiti a museo e ospitano collezioni di ceramiche e porcellane di epoca rococò.",2.6,gli edifici di il castello,sono adibiti a,museo,1
Sinfonia n. 24 (Mozart),"La strumentazione prevede parti per due oboi, due corni e archi.",1.75,La strumentazione,prevede,parti per due oboi,1
Il fabbro Vakula,"La prima rappresentazione ebbe luogo il 6 dicembre 1876 al teatro Mariinskij, sotto la direzione di Ėduard Nápravník con Osip Petrov.",1.3333334,La prima rappresentazione,ebbe,luogo il 6 dicembre 1876 a il teatro Mariinskij,1
Da mezzogiorno alle tre,Amanda per disperazione si suicida e Graham viene rinchiuso in un manicomio.,4.0,Graham,viene rinchiuso in,un manicomio,1
Edward Weston (chimico),"Nel 1911, quando la pila Weston divenne lo standard internazionale per la forza elettromotrice, Weston rinunciò alle sue royalty di brevetto.",1.7619048,la pila Weston,divenne,lo standard internazionale per la forza elettromotrice,1
Tim Jennings,"Nel 2010 contro i Buffalo Bills, Jennings ritornò un intercetto in un touchdown dando il vantaggio ai Bears per 22-19.",3.6,Jennings,ritornò,un intercetto in un touchdown,1
Episodi di Supernatural (ottava stagione),"Dopo lo smaltimento dei corpi dei Thule, Aaron prende il pieno controllo del Golem e decide di continuare la lotta contro la Thule, e Sam e Dean ritornano al magazzino, dove Sam scrive sul registro rosso, assumendo i doveri di un uomo di lettere.",3.6666667,Sam,scrive su,il registro rosso,1
Chiesa di San Nicola (Barnaul),L'edificio fu progettato dall'architetto locale Ivan Feodosievič Nosovič.,2.3333335,L' edificio,fu progettato da,l' architetto locale Ivan Feodosievič Nosovič,1
Vengeance 2004,"Nella puntata di ""Raw"" del 21 giugno, Triple H tentò di colpire Eugene con una sedia, per ordine di Bischoff, ma Benoit salvò Eugene.",6.0,Benoit,salvò,Eugene,1
Island Ring Road,"Nel distretto di Aiwo, la Island Ring Road presenta una diramazione che la collega con la laguna di Buada e le miniere di fosfato.",2.75,la Island Ring Road,presenta,una diramazione,1
Carthamus,la maggior parte delle specie sono ricoperte di spine; le foglie hanno una lamna a contorno pennato (raramente sono intere);,1.6,le foglie,hanno,una lamna a contorno pennato,1
Conte di Douglas,"Suo figlio James venne privato del titolo e delle terre e giurò fedeltà a Robert Bruce nel 1306 prima ancora che egli venisse incoronato, negli anni condivise con lui successi ed insuccessi, fu al suo fianco alla Battaglia di Bannockburn e venne quindi nominato luogotenente del re divenendo uno degli uomini più potenti dei Confini (""Borders"").",2.3333335,Suo figlio James,venne privato di,il titolo,1
NASDAQ-100 Open 2006,"Roger Federer ha battuto in finale Ivan Ljubičić 7-6 (7-5), 7-6 (7-4), 7-6 (8-6)",4.0,Roger Federer,ha battuto in,finale Ivan Ljubičić 7,1
Monte Carlo Masters 2005,Leander Paes / Nenad Zimonjić hanno battuto in finale Bob Bryan / Mike Bryan per walkover,4.5,Nenad Zimonjić,hanno battuto in,finale Bob Bryan,1
Ipratropio,Questo farmaco esiste in due forme farmaceutiche:,1.6666667,Questo farmaco,esiste in,due forme farmaceutiche,1
Alessandria,"La maggiore realtà cestistica alessandrina milita nel campionato di DNB, il quarto livello della pallacanestro nazionale.",1.4,La maggiore realtà cestistica alessandrina,milita in,il campionato di DNB,1
BitTorrent,"Anche a causa della sua grossa popolarità, nel 2004 Supernova.org era primo in classifica su tutti i motori di ricerca con milioni di contatti giornalieri, il sito entrò nel mirino delle case discografiche unite nella lotta alla pirateria e della RIAA.",1.5,il sito,entrò in,il mirino di le case discografiche,1
Provincia di Abuná,La provincia è suddivisa in 3 comuni:,2.0,La provincia,è suddivisa in,3 comuni,1
Peng Zhen,Peng entrò nel Partito Comunista Cinese nel 1923 e fu tra i fondatori del comitato provinciale dello Shanxi.,3.857143,Peng,entrò in,il Partito Comunista Cinese in il 1923,1
Genova,"quello svevo, quello bizantino e quello asburgico, del quale ultimo i genovesi controllavano l'economia e il commercio.",2.0,i genovesi,controllavano,l' economia,1
Änis Ben-Hatira,Il 2 febbraio 2009 viene prestato al Duisburg dove in 13 presenze va a segno in due occasioni.,1.4166667,in 13 presenze,va a,segno in due occasioni,1
Monti Dângrêk,"L'11 novembre 2013, la Corte internazionale di giustizia ha assegnato alla Cambogia la giurisdizione sul territorio disputato.",1.425,la Corte internazionale di giustizia,ha assegnato a,la Cambogia la giurisdizione su il territorio disputato,1
Jeff Hardy,"Il 21 aprile, a Backlash, Jeff venne sconfitto da Brock Lesnar.",5.5,Jeff,venne sconfitto da,Brock Lesnar,1
English Racing Automobiles,"Humphrey Cook finanziò l'operazione, con un dispendio di risorse non indifferente ed impegnando le ricchezze di famiglia, vale a dire la Cook Son &amp;",3.5,Humphrey Cook,finanziò,l' operazione,1
Chiesa di Sant'Antonio (Borrello),"La chiesa risale al 500, occupando il punto ov'è oggi la sagrestia.",1.5,La chiesa,risale a,il 500,1
Dipartimento di Valle Fértil,"Secondo il censimento del 2001, su un territorio di 6.419 km², la popolazione ammontava a 6.864 abitanti.",2.0,la popolazione,ammontava a,6.864 abitanti,1
Comitato Olimpico Colombiano,"L'attuale presidente dell'organizzazione è Baltazar Medina, mentre la carica di segretario generale è occupata da Alberto Ferrer Vargas.",2.9333334,la carica di segretario generale,è occupata da,Alberto Ferrer Vargas,1
Battaglia di Towton,"Venuta a conoscenza di ciò, Margherita d'Angiò ritirò le truppe verso nord.",2.4166667,Margherita d' Angiò,ritirò,le truppe verso nord,1
Migliori club del XX secolo per ogni continente secondo l'IFFHS,"Nelle gare decise dai tiri di rigore, ogni squadra ricevette la metà di punti rispetto a un incontro terminati nei tempi regolamentari.",1.75,ogni squadra,ricevette,la metà di punti,1
Albert Abrams,Tra il 1910 e il 1918 Abrams pubblica diversi libri su questa tecnica.,1.6,il 1918 Abrams,pubblica,diversi libri su questa tecnica,1
Lewis Hamilton,"Nel Gran Premio di Gran Bretagna, Hamilton ottiene il quinto Grand Chelem in carriera, il terzo in stagione, ottenendo pole position, giro veloce, vittoria e in testa per tutta la gara.",4.0,Hamilton,ottiene,il quinto Grand Chelem in carriera,1
Appennino meridionale,"Un gruppo secondario dell'Appennino sannita è costituito dai Monti dei Frentani (Monte Castelfraiano 1415 m) che si estendono dalla valle del Sangro fino al Fiume Biferno attraverso l'Abruzzo ed il Molise, sono costituiti da sistemi di rilievi che digradano con alte colline verso l'Adriatico.",1.5714285,Un gruppo secondario di l' Appennino sannita,è costituito da,i Monti di i Frentani,1
Cappella di San Giacomo (Padova),"Sotto il pavimento furono rinvenute diverse lastre tombali, una delle quali appartenente a Bartolomea degli Scrovegni, che ora si trova sotto la ""Crocifissione"".",1.3333334,Sotto il pavimento,furono rinvenute,diverse lastre tombali,1
Operazione Cyclone,"L'operazione è durata dal 1979 al 1989 e fu una tra le più lunghe e costose operazioni che la CIA abbia mai compiuto, con un fondo iniziale di $20–30 milioni di dollari all'anno nel 1980 fino ai $630 milioni all'anno nel 1987.",1.2,L' operazione,è durata da,il 1979 a il 1989,1
Personaggi di Desperate Housewives,Mona lavora come infermiera al Fairview Memorial Hospital e nel quartiere ha la fama di chiacchierona.,4.3333335,Mona,lavora come,infermiera a il Fairview Memorial Hospital,1
Ordine della Corona di Vestfalia,L'Ordine disponeva di quattro classi di benemerenza:,2.25,L' Ordine,disponeva di,quattro classi di benemerenza,1
Storia della Polonia (1945-1989),"A Gdynia l'esercito fece fuoco sulla folla, causando centinaia di morti.",1.75,A Gdynia l' esercito,fece,fuoco su la folla,1
Campionato mondiale di Formula 1 2010,"La gara di Webber termina al 9º giro, in cui è protagonista di un incidente:",1.6666667,La gara di Webber,termina a,il 9º giro,1
Al Snow,Come Shinobi viene sconfitto al secondo turno da Sabu.,2.3,Come Shinobi,viene sconfitto a,il secondo turno da Sabu,1
Niki (azienda),Nel 2017 Lauda ha fondato Laudamotion usando gli aerei della ex compagnia e dell'Airberlin.,3.75,In il 2017 Lauda,ha fondato,Laudamotion,1
Umbertide,"La cittadina di Umbertide è servita dalla Ferrovia Centrale Umbra, sulla quale è ubicata l'omonima stazione che è anche la sede delle officine ferroviarie di Umbria Mobilità.",2.75,La cittadina di Umbertide,è servita da,la Ferrovia Centrale Umbra,1
Madejski Stadium,"Richmond è stata la prima squadra di rugby ad utilizzare lo stadio, tutto ciò durò solo una stagione, quando Richmond entrò in amministrazione controllata con i London Scottish e fuse con i London Irish.",4.0,Richmond,entrò in,amministrazione controllata con i London Scottish,1
Luigi Conconi,"Conconi muore a Milano, dopo una lunga malattia, il 23 gennaio 1917 ed è sepolto presso il cimitero Monumentale di Milano.",5.0,Conconi,muore a,Milano,1
Wo Gott der Herr nicht bei uns hält,"Nel 1845, all'asta dei beni dopo la morte di Kötschau, il manoscritto di Bach venne acquistato da Friedrich August Gotthold.",3.3333335,il manoscritto di Bach,venne acquistato da,Friedrich August Gotthold,1
Ulma,Nel 1850 Ulma viene raggiunta dalla ferrovia:,1.75,In il 1850 Ulma,viene raggiunta da,la ferrovia,1
Elfi della Terra di Mezzo,"Oltre a Eärwen, Olwë ebbe molti figli.",4.0,Olwë,ebbe,molti figli,1
Merlot,"Anche la Toscana produce diversi merlot in purezza divenuti famosi, in quanto il suo territorio, specie il bolgherese, si presta molto bene a questo vitigno.",2.25,la Toscana,produce,diversi merlot in purezza,1
Lucifero,"Mentre le traduzioni italiane precedenti hanno avuto in passato il termine esplicito Lucifero, visto come personificazione e non come appellativo, al giorno d'oggi è considerato alla stregua di un errore di traduzione sebbene lo slittamento di senso sembri essere successivo.",1.5,le traduzioni italiane precedenti,hanno avuto in,passato il termine esplicito Lucifero,1
Jacky Ickx,"al di fuori del campionato, l'australiano vinse il BRDC International Trophy, con Ickx quarto al traguardo, dopo essere partiti dalla prima fila.&lt;ref name=""Heuvink/75""&gt;&lt;/ref&gt;",2.75,l' australiano,vinse,il BRDC International Trophy,1
Damasco,"Il centro è diviso dalla via principale della città romana, la ""Via recta"", che corrispondeva al decumano massimo.",1.4285715,Il centro,è diviso da,la via principale di la città romana,1
Cher (dipartimento),"Alcuni bambini furono portati nell'orfanotrofio di Bourges, evacuato in seguito a causa della minaccia dei bombardamenti a Neuvy-sur-Barangeon del 1945.",2.0,Alcuni bambini,furono portati in,l' orfanotrofio di Bourges,1
Nicolas Bourbaki,Bourbaki ha introdotto molte notazioni ed espressioni entrate nell'uso comune:,4.0,Bourbaki,ha introdotto,molte notazioni,1
Malattia di Parkinson,"Il motivo di ciò non è noto con certezza, ma si ritiene che la nicotina possa avere un effetto stimolante sulla dopamina.",1.5,la nicotina,possa avere,un effetto stimolante su la dopamina,1
Guido Tarlati,"Questa attività militare verso est incontrò l'opposizione di papa Giovanni XXII che lo scomunicò e nominò un altro vescovo, Boso Ubertini, nel 1325.",1.7666668,Questa attività militare verso est,incontrò,l' opposizione di papa Giovanni XXII,1
Panthera pardus,"dove sono presenti in buon numero competitori come leoni, iene e tigri, il leopardo punta agli animali di taglia medio-piccola; laddove essi siano invece scarsi o assenti, tende a cacciare le specie più grandi del suo habitat, come zebre, orici, kudu, sambar, nilgau e gorilla.",1.6,il leopardo,punta a,gli animali di taglia medio,1
Vito De Filippo,Il 24 aprile 2013 la Procura di Potenza arresta due assessori regionali della Giunta De Filippo:,1.625,Il 24 aprile 2013 la Procura di Potenza,arresta,due assessori regionali di la Giunta De Filippo,1
Kampuchea Democratica,La legislatura durava cinque anni e veniva eletta a suffragio universale.,2.0,La legislatura,durava,cinque anni,1
Cinema d'animazione,"Dapprima le animazioni riguardarono il movimento di oggetti inanimati, come i film di trucchi di Georges Méliès, poi utilizzando il procedimento fotogramma per fotogramma (o fotogramma singolo) si approdò a una forma più moderna di cinema d'animazione.",1.6,le animazioni,riguardarono,il movimento di oggetti inanimati,1
Luigi Barzini (1874-1947),"Luigi Barzini pubblicò alcune commedie; la più nota fu ""Quello che non ti aspetti"" (scritta in collaborazione con Arnaldo Fraccaroli).",3.5,Luigi Barzini,pubblicò,alcune commedie,1
Michael Crichton,"Nel 1992 Crichton ha pubblicato il romanzo ""Sol levante"", un best seller su un omicidio nel quartier generale di Los Angeles di una società giapponese.",1.75,In il 1992 Crichton,ha pubblicato,il romanzo,1
Panthera tigris,I lupi evitano gli scontri con le tigri solo quando la persecuzione degli uomini ne riduce il numero.,1.6,I lupi,evitano,gli scontri con le tigri,1
Periodico,La prima pubblicazione avvenne nel 1980 e l'undicesimo numero è apparso nel 2020.,1.1666667,l' undicesimo numero,è apparso in,il 2020,1
Risiera di San Sabba,Oggi la risiera è divenuta un museo.,2.0,la risiera,è divenuta,un museo,1
Filosofia ebraica,Ibn Falaquera visse una vita ascetica di solitudine.,3.1,Ibn Falaquera,visse,una vita ascetica di solitudine,1
Accordo di settima,La teoria musicale considera dissonanti tutti gli accordi di settima.,1.1666667,La teoria musicale,considera,dissonanti tutti gli accordi di settima,1
Viola (strumento musicale),Il lavoro di Hutchins ha riscosso molto interesse ed è stato pubblicato e analizzato in numerosi articoli scientifici e musicali.,2.0,Il lavoro di Hutchins,ha riscosso,molto interesse,1
Officine Galileo,"Nell'ambito della riconversione dell'industria bellica nel secondo dopoguerra, la Galileo sviluppò la produzione di fotocamere economiche ma di buona qualità sulla falsariga dei modelli prestigiosi prodotti dalla tedesca Leica, in particolare rifacendosi alla Leica III.",2.1,la Galileo,sviluppò,la produzione di fotocamere economiche,1
Il mondo perduto - Jurassic Park,"Alla sua uscita, il film ha riscosso un notevole successo, con un incasso a livello mondiale di oltre 618 milioni di dollari, che lo rende tra i 100 maggiori incassi di tutti i tempi, secondo all'epoca solo allo stesso ""Jurassic Park"", sempre di Spielberg.",1.6666667,il film,ha riscosso,un notevole successo,1
Zog I di Albania,"Nell'aprile 1938 Zog sposò la contessa Géraldine Apponyi de Nagyappony, una cattolica che era metà ungherese e metà statunitense:",2.1333334,In l' aprile 1938 Zog,sposò,la contessa Géraldine Apponyi de Nagyappony,1
Wehrmacht,"i sovietici invasero la Romania, che abbandonò repentinamente il campo tedesco, e la Bulgaria.",2.5,i sovietici,invasero,la Romania,1
Associazione Calcio ChievoVerona,"Includendo la stagione in corso, il club ha partecipato a 44 campionati nazionali, di cui 17 in Serie A, 8 in Serie B, 5 in Serie C1, 6 campionati di quarto livello e 8 di quinto.",1.6666667,il club,ha partecipato a,44 campionati nazionali,1
Achille Starace,"Fu anche presidente del Comitato Olimpico Nazionale Italiano, dal 1933 al 1939, in un periodo in cui il movimento sportivo era utilizzato dal regime per fini propagandistici.",1.2666667,il movimento sportivo,era utilizzato da,il regime per fini propagandistici,1
Carlo XII di Svezia,"Con i 5.800 uomini rimasti, Armfeldt iniziò la ritirata verso la Svezia seguendo il percorso più breve, ma più rischioso, valicando i monti del Tydal.",3.8,Armfeldt,iniziò,la ritirata verso la Svezia,1
When Lin Came Home,Il film fu prodotto dalla Vitagraph Company of America.,2.4,Il film,fu prodotto da,la Vitagraph Company of America,1
Steins;Gate 0,Il gioco presenta sei finali:,2.0,Il gioco,presenta,sei finali,1
Episodi di The Flash (seconda stagione),"Con il suo urlo ultrasonico indebolisce Flash, ma poi arriva Wally che alla guida della sua auto investe Black Siren, salvandolo, i due poi si danno alla fuga.",3.4,Con il suo urlo ultrasonico,indebolisce,Flash,1
Andreas Ottosson,"L'anno seguente passò allo Start, per cui debuttò il 9 aprile 2000, nella sconfitta per 4-2 contro il Bryne.",2.1666667,L' anno seguente,passò a,lo Start,0
Takanori Gomi,"Gomi sottomette Tatsuya Kawajiri nei quarti di finale, in semifinale vince ai punti contro Luiz Azeredo e in finale vince per KO al primo round contro il connazionale Hayato Sakurai, divenendo quindi il primo campione dei pesi leggeri Pride, categoria nata nell'associazione giapponese proprio quell'anno.",2.2,in semifinale,vince a,i punti contro Luiz Azeredo,0
Midland M16,"Viene confermato Tiago Monteiro, che la stagione precedente ha corso in Jordan, antenata della Midland, e viene ingaggiato Christijan Albers, proveniente dalla Minardi.",3.6666667,la stagione precedente,ha corso in,Jordan,0
Stazione di Fota,"Tre anni dopo divenne una fermata a richiesta e nel 1892 cambiò nome nell'odierno ""Fota"".",1.0833334,in il 1892,cambiò,nome in l' odierno,0
Occhi dalle stelle,"La stessa sorte tocca alla modella che si era messa alla ricerca del fotografo scomparso, e che verrà successivamente ritrovata in stato di shock.",1.6666667,La stessa sorte,tocca a,la modella,0
Max Unger,"Il 26 dicembre 2012, Unger fu convocato per il primo Pro Bowl in carriera e il 12 gennaio 2013 fu inserito nel First-team All-Pro.",2.0,il 12 gennaio 2013,fu inserito in,il First-,0
Vojska protivovozdušnoj oborony SSSR,"Negli anni tra le due guerre, per l'Unione Sovietica diventò un problema sentito quello di dotare le truppe di armi e attrezzature militari adeguate.",1.75,per l' Unione Sovietica,diventò,un problema,0
Vincenza Pasini,"La seconda apparizione sarebbe avvenuta due anni dopo, il 1º agosto 1428.",1.6666667,La seconda apparizione,sarebbe avvenuta,due anni,0
Lake Koast,"Risale al gennaio 2003 presso gli studi di Radio Deejay l'incontro con il notissimo disc jockey e produttore di fama internazionale Mario Fargetta, un'amicizia che nell'estate 2004 diventa collaborazione per il singolo ""Play This Song"".",1.25,in l' estate 2004,diventa,collaborazione per il singolo,0
Blake Ritson,"[...] unito al gazoo forma una combinazione vincente"".",1.3333334,a il gazoo,forma,una combinazione vincente,0
László Kubala,"Mentre il campionato prendeva il via continuarono incessanti le pressioni sulla Federazione ungherese ed alla FIFA, ma non si avevano risposte.",1.5714285,il via,continuarono,incessanti le pressioni su la Federazione ungherese,0
Mira (Italia),La località aveva assunto i connotati di un importante,1.4,La località,aveva assunto,i connotati di un importante,0
Florida Beach Dogs,"Nel Dakota meridionale rimasero per 9 anni, conquistando il terzo titolo CBA e raggiungendo i play-off in 8 stagioni su 9.",1.75,In il Dakota meridionale,rimasero per,9 anni,0
Stefano Garuti,"La stagione seguente ha allenato il Sangimignano, in Serie D.",2.1666667,La stagione seguente,ha allenato,il Sangimignano,0
Chewingum (film),"ma all'aula scolastica preferiscono il bar ""Chewingum"" all'aperto, dove, oltre ad ammirare il Colosseo, di fronte al quale si trova la scuola, possono scommettere sulla marca della prima macchina in arrivo.",1.5,a l' aula scolastica,preferiscono,il bar,0
Provincia di Brescia (Lombardo-Veneto),"All'atto dell'istituzione, la provincia fu divisa in diciassette distretti, a loro volta suddivisi in trenta comuni:",1.6666667,a loro volta,suddivisi in,trenta comuni,0
Trattato sulla natura umana,"lo percepisco in modo sfocato rispetto alla impressione precedente; questa situazione indica per Hume l'esistenza dell'idea, come ricordo sbiadito di una vivace impressione non più attuale.",1.8333334,questa situazione,indica per,Hume l' esistenza di l' idea,0
Mikel Nieve,"In febbraio conclude al quarto posto la Vuelta a Andalucía, corsa a tappe vinta dal suo capitano Chris Froome.",1.8571429,In febbraio,conclude a,il quarto posto la Vuelta a Andalucía,0
Dar es Salaam,"La parte nord di Dar es Salaam costituisce il distretto di Kinondoni, dove si trovano alcune delle aree residenziali più esclusive; Oyster Bay, che era la zona dove prima dell'indipendenza risiedevano i coloni britannici, è una delle più sviluppate.",1.3333334,di l' indipendenza,risiedevano,i coloni britannici,0
Operazione Market Garden,"Gli Stati Maggiori a Washington, inoltre, premevano con insistenza per utilizzare offensivamente e in modo audace anche le ingenti forze aviotrasportate disponibili, accuratamente addestrate e organizzate; la pianificazione operativa rimaneva ancora confusa (durante i mesi di luglio e agosto numerose operazioni delle truppe aviotrasportate erano state in un primo tempo studiate per poi essere annullate, di fronte agli sviluppi delle operazioni), tuttavia sia il Capo di Stato Maggiore dell'Esercito statunitense, generale George Marshall, sia il comandante delle United States Army Air Forces, generale Henry Arnold, facevano pressioni sul comandante supremo delle forze di spedizione alleate in Europa, generale Dwight Eisenhower, affinché si sfruttasse la situazione e si organizzasse l'impiego anche di queste truppe scelte.",1.2380953,agosto numerose operazioni di le truppe aviotrasportate,erano state in,un primo tempo,0
